"library","version","artifact","publishDate","latestPatch","latestPatchPublishDate","patchStatus","groupId","versionTotalCveCount","versionCriticalCveCount","versionHighCveCount","latestPatchTotalCveCount","latestPatchCriticalCveCount","latestPatchHighCveCount","daysBetweenManagedAndLatestVersions","daysSinceLatestPatch"
"antlr","2.7.7","antlr","2007-01-13","2.7.7","2007-01-13","up-to-date","antlr","0","0","0","0","0","0","0","6954"
"logback-access","1.2.12","logback-access","2023-03-23","1.2.13","2023-12-01","update-available","ch.qos.logback","0","0","0","0","0","0","253","788"
"logback-classic","1.2.12","logback-classic","2023-03-23","1.2.13","2023-12-01","update-available","ch.qos.logback","1","0","1","0","0","0","253","788"
"logback-core","1.2.12","logback-core","2023-03-23","1.2.13","2023-12-01","update-available","ch.qos.logback","6","0","2","4","0","0","253","788"
"transactions-jdbc","4.0.6","transactions-jdbc","2018-01-11","4.0.6","2018-01-11","up-to-date","com.atomikos","0","0","0","0","0","0","0","2938"
"transactions-jms","4.0.6","transactions-jms","2018-01-11","4.0.6","2018-01-11","up-to-date","com.atomikos","0","0","0","0","0","0","0","2938"
"transactions-jta","4.0.6","transactions-jta","2018-01-11","4.0.6","2018-01-11","up-to-date","com.atomikos","0","0","0","0","0","0","0","2938"
"java-client","3.3.4","java-client","2022-09-09","3.3.4","2022-09-09","up-to-date","com.couchbase.client","0","0","0","0","0","0","0","1236"
"java-driver-core","4.14.1","java-driver-core","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-core-shaded","4.14.1","java-driver-core-shaded","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-mapper-processor","4.14.1","java-driver-mapper-processor","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-mapper-runtime","4.14.1","java-driver-mapper-runtime","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-metrics-micrometer","4.14.1","java-driver-metrics-micrometer","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-metrics-microprofile","4.14.1","java-driver-metrics-microprofile","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-query-builder","4.14.1","java-driver-query-builder","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"java-driver-shaded-guava","25.1-jre-graal-sub-1","java-driver-shaded-guava","2020-06-05","25.1-jre-graal-sub-1","","skipped: not 3-part semver","com.datastax.oss","0","0","0","0","0","0","",""
"java-driver-test-infra","4.14.1","java-driver-test-infra","2022-04-27","4.14.1","2022-04-27","up-to-date","com.datastax.oss","0","0","0","0","0","0","0","1371"
"native-protocol","1.5.1","native-protocol","2022-02-15","1.5.2","unknown","update-available","com.datastax.oss","0","0","0","0","0","0","",""
"classmate","1.5.1","classmate","2019-10-19","1.5.1","2019-10-19","up-to-date","com.fasterxml","0","0","0","0","0","0","0","2292"
"jackson-annotations","2.13.5","jackson-annotations","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.core","0","0","0","0","0","0","0","1101"
"jackson-core","2.13.5","jackson-core","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.core","1","0","1","1","0","1","0","1101"
"jackson-databind","2.13.5","jackson-databind","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.core","0","0","0","0","0","0","0","1101"
"jackson-dataformat-avro","2.13.5","jackson-dataformat-avro","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-cbor","2.13.5","jackson-dataformat-cbor","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-csv","2.13.5","jackson-dataformat-csv","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-ion","2.13.5","jackson-dataformat-ion","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-properties","2.13.5","jackson-dataformat-properties","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-protobuf","2.13.5","jackson-dataformat-protobuf","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-smile","2.13.5","jackson-dataformat-smile","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-toml","2.13.5","jackson-dataformat-toml","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","1","0","1","1","0","1","0","1101"
"jackson-dataformat-xml","2.13.5","jackson-dataformat-xml","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-dataformat-yaml","2.13.5","jackson-dataformat-yaml","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.dataformat","0","0","0","0","0","0","0","1101"
"jackson-datatype-eclipse-collections","2.13.5","jackson-datatype-eclipse-collections","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-guava","2.13.5","jackson-datatype-guava","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hibernate4","2.13.5","jackson-datatype-hibernate4","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hibernate5","2.13.5","jackson-datatype-hibernate5","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hibernate5-jakarta","2.13.5","jackson-datatype-hibernate5-jakarta","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-hppc","2.13.5","jackson-datatype-hppc","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jakarta-jsonp","2.13.5","jackson-datatype-jakarta-jsonp","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jaxrs","2.13.5","jackson-datatype-jaxrs","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jdk8","2.13.5","jackson-datatype-jdk8","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-joda","2.13.5","jackson-datatype-joda","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-joda-money","2.13.5","jackson-datatype-joda-money","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-json-org","2.13.5","jackson-datatype-json-org","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jsr310","2.13.5","jackson-datatype-jsr310","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-jsr353","2.13.5","jackson-datatype-jsr353","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-datatype-pcollections","2.13.5","jackson-datatype-pcollections","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.datatype","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-base","2.13.5","jackson-jakarta-rs-base","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-cbor-provider","2.13.5","jackson-jakarta-rs-cbor-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-json-provider","2.13.5","jackson-jakarta-rs-json-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-smile-provider","2.13.5","jackson-jakarta-rs-smile-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-xml-provider","2.13.5","jackson-jakarta-rs-xml-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
"jackson-jakarta-rs-yaml-provider","2.13.5","jackson-jakarta-rs-yaml-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jakarta.rs","0","0","0","0","0","0","0","1101"
"jackson-jaxrs-base","2.13.5","jackson-jaxrs-base","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jaxrs","0","0","0","0","0","0","0","1101"
"jackson-jaxrs-cbor-provider","2.13.5","jackson-jaxrs-cbor-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jaxrs","0","0","0","0","0","0","0","1101"
"jackson-jaxrs-json-provider","2.13.5","jackson-jaxrs-json-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jaxrs","0","0","0","0","0","0","0","1101"
"jackson-jaxrs-smile-provider","2.13.5","jackson-jaxrs-smile-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jaxrs","0","0","0","0","0","0","0","1101"
"jackson-jaxrs-xml-provider","2.13.5","jackson-jaxrs-xml-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jaxrs","0","0","0","0","0","0","0","1101"
"jackson-jaxrs-yaml-provider","2.13.5","jackson-jaxrs-yaml-provider","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jaxrs","0","0","0","0","0","0","0","1101"
"jackson-jr-all","2.13.5","jackson-jr-all","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jr","0","0","0","0","0","0","0","1101"
"jackson-jr-annotation-support","2.13.5","jackson-jr-annotation-support","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jr","0","0","0","0","0","0","0","1101"
"jackson-jr-objects","2.13.5","jackson-jr-objects","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jr","0","0","0","0","0","0","0","1101"
"jackson-jr-retrofit2","2.13.5","jackson-jr-retrofit2","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jr","0","0","0","0","0","0","0","1101"
"jackson-jr-stree","2.13.5","jackson-jr-stree","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.jr","0","0","0","0","0","0","0","1101"
"jackson-module-afterburner","2.13.5","jackson-module-afterburner","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-blackbird","2.13.5","jackson-module-blackbird","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-guice","2.13.5","jackson-module-guice","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-jakarta-xmlbind-annotations","2.13.5","jackson-module-jakarta-xmlbind-annotations","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-jaxb-annotations","2.13.5","jackson-module-jaxb-annotations","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-jsonSchema","2.13.5","jackson-module-jsonSchema","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-kotlin","2.13.5","jackson-module-kotlin","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-mrbean","2.13.5","jackson-module-mrbean","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-no-ctor-deser","2.13.5","jackson-module-no-ctor-deser","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-osgi","2.13.5","jackson-module-osgi","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-parameter-names","2.13.5","jackson-module-parameter-names","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-paranamer","2.13.5","jackson-module-paranamer","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-scala_2.11","2.13.5","jackson-module-scala_2.11","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-scala_2.12","2.13.5","jackson-module-scala_2.12","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-scala_2.13","2.13.5","jackson-module-scala_2.13","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"jackson-module-scala_3","2.13.5","jackson-module-scala_3","2023-01-22","2.13.5","2023-01-22","up-to-date","com.fasterxml.jackson.module","0","0","0","0","0","0","0","1101"
"caffeine","2.9.3","caffeine","2021-12-02","2.9.3","2021-12-02","up-to-date","com.github.ben-manes.caffeine","0","0","0","0","0","0","0","1517"
"guava","2.9.3","guava","2021-12-02","2.9.3","2021-12-02","up-to-date","com.github.ben-manes.caffeine","0","0","0","0","0","0","0","1517"
"jcache","2.9.3","jcache","2021-12-02","2.9.3","2021-12-02","up-to-date","com.github.ben-manes.caffeine","0","0","0","0","0","0","0","1517"
"simulator","2.9.3","simulator","2021-12-02","2.9.3","2021-12-02","up-to-date","com.github.ben-manes.caffeine","0","0","0","0","0","0","0","1517"
"thymeleaf-extras-data-attribute","2.0.1","thymeleaf-extras-data-attribute","2016-05-28","2.0.1","2016-05-28","up-to-date","com.github.mxab.thymeleaf.extras","0","0","0","0","0","0","0","3531"
"appengine-api-1.0-sdk","1.9.98","appengine-api-1.0-sdk","2022-07-18","1.9.98","2022-07-18","up-to-date","com.google.appengine","0","0","0","0","0","0","0","1289"
"gson","2.9.1","gson","2022-07-31","2.9.1","2022-07-31","up-to-date","com.google.code.gson","0","0","0","0","0","0","0","1276"
"graphql-java","18.5","graphql-java","2023-03-30","18.5","","skipped: not 3-part semver","com.graphql-java","1","0","1","1","0","1","",""
"h2","2.1.214","h2","2022-06-14","2.1.214","2022-06-14","up-to-date","com.h2database","1","0","1","1","0","1","0","1323"
"hazelcast","5.1.7","hazelcast","2023-06-19","5.1.7","2023-06-19","up-to-date","com.hazelcast","2","0","2","2","0","2","0","953"
"hazelcast-hibernate52","2.2.1","hazelcast-hibernate52","2021-07-26","2.2.1","2021-07-26","up-to-date","com.hazelcast","0","0","0","0","0","0","0","1646"
"hazelcast-hibernate53","2.2.1","hazelcast-hibernate53","2021-07-26","2.2.1","2021-07-26","up-to-date","com.hazelcast","0","0","0","0","0","0","0","1646"
"hazelcast-spring","5.1.7","hazelcast-spring","2023-06-19","5.1.7","2023-06-19","up-to-date","com.hazelcast","0","0","0","0","0","0","0","953"
"jcc","11.5.9.0","jcc","2023-11-17","11.5.9.0","","skipped: not 3-part semver","com.ibm.db2","0","0","0","0","0","0","",""
"json-path","2.7.0","json-path","2022-01-30","2.7.0","2022-01-30","up-to-date","com.jayway.jsonpath","1","0","0","1","0","0","0","1458"
"json-path-assert","2.7.0","json-path-assert","2022-01-30","2.7.0","2022-01-30","up-to-date","com.jayway.jsonpath","0","0","0","0","0","0","0","1458"
"mssql-jdbc","10.2.3.jre8","mssql-jdbc","2023-01-12","10.2.3.jre8","","skipped: not 3-part semver","com.microsoft.sqlserver","1","0","1","1","0","1","",""
"mysql-connector-j","8.0.33","mysql-connector-j","2023-04-16","8.0.33","2023-04-16","up-to-date","com.mysql","1","0","1","1","0","1","0","1017"
"ons","21.5.0.0","ons","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.ha","0","0","0","0","0","0","",""
"simplefan","21.5.0.0","simplefan","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.ha","0","0","0","0","0","0","",""
"ojdbc11","21.5.0.0","ojdbc11","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"ojdbc11-production","21.5.0.0","ojdbc11-production","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"ojdbc8","21.5.0.0","ojdbc8","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"ojdbc8-production","21.5.0.0","ojdbc8-production","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"rsi","21.5.0.0","rsi","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"ucp","21.5.0.0","ucp","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"ucp11","21.5.0.0","ucp11","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc","0","0","0","0","0","0","",""
"ojdbc11-debug","21.5.0.0","ojdbc11-debug","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc11-observability-debug","21.5.0.0","ojdbc11-observability-debug","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc11_g","21.5.0.0","ojdbc11_g","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc11dms_g","21.5.0.0","ojdbc11dms_g","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc8-debug","21.5.0.0","ojdbc8-debug","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc8-observability-debug","21.5.0.0","ojdbc8-observability-debug","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc8_g","21.5.0.0","ojdbc8_g","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"ojdbc8dms_g","21.5.0.0","ojdbc8dms_g","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.jdbc.debug","0","0","0","0","0","0","",""
"orai18n","21.5.0.0","orai18n","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.nls","0","0","0","0","0","0","",""
"dms","21.5.0.0","dms","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.observability","0","0","0","0","0","0","",""
"ojdbc11-observability","21.5.0.0","ojdbc11-observability","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.observability","0","0","0","0","0","0","",""
"ojdbc11dms","21.5.0.0","ojdbc11dms","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.observability","0","0","0","0","0","0","",""
"ojdbc8-observability","21.5.0.0","ojdbc8-observability","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.observability","0","0","0","0","0","0","",""
"ojdbc8dms","21.5.0.0","ojdbc8dms","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.observability","0","0","0","0","0","0","",""
"oracle-r2dbc","0.4.0","oracle-r2dbc","2021-12-21","0.4.0","2021-12-21","up-to-date","com.oracle.database.r2dbc","0","0","0","0","0","0","0","1498"
"oraclepki","21.5.0.0","oraclepki","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.security","0","0","0","0","0","0","",""
"osdt_cert","21.5.0.0","osdt_cert","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.security","0","0","0","0","0","0","",""
"osdt_core","21.5.0.0","osdt_core","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.security","0","0","0","0","0","0","",""
"xdb","21.5.0.0","xdb","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.xml","0","0","0","0","0","0","",""
"xmlparserv2","21.5.0.0","xmlparserv2","2022-02-02","21.5.0.0","","skipped: not 3-part semver","com.oracle.database.xml","0","0","0","0","0","0","",""
"querydsl-apt","5.0.0","querydsl-apt","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","1","0","1","1","0","1","0","1651"
"querydsl-codegen","5.0.0","querydsl-codegen","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-codegen-utils","5.0.0","querydsl-codegen-utils","unknown","5.0.0","","error: no versions found","com.querydsl","0","0","0","0","0","0","",""
"querydsl-collections","5.0.0","querydsl-collections","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-core","5.0.0","querydsl-core","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-guava","5.0.0","querydsl-guava","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-hibernate-search","5.0.0","querydsl-hibernate-search","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-jdo","5.0.0","querydsl-jdo","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-jpa","5.0.0","querydsl-jpa","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","1","0","1","1","0","1","0","1651"
"querydsl-jpa-codegen","5.0.0","querydsl-jpa-codegen","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-kotlin","5.0.0","querydsl-kotlin","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-kotlin-codegen","5.0.0","querydsl-kotlin-codegen","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-lucene3","5.0.0","querydsl-lucene3","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-lucene4","5.0.0","querydsl-lucene4","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-lucene5","5.0.0","querydsl-lucene5","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-mongodb","5.0.0","querydsl-mongodb","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-scala","5.0.0","querydsl-scala","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-spatial","5.0.0","querydsl-spatial","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-sql","5.0.0","querydsl-sql","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-sql-codegen","5.0.0","querydsl-sql-codegen","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-sql-spatial","5.0.0","querydsl-sql-spatial","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"querydsl-sql-spring","5.0.0","querydsl-sql-spring","2021-07-21","5.0.0","2021-07-21","up-to-date","com.querydsl","0","0","0","0","0","0","0","1651"
"amqp-client","5.14.3","amqp-client","2023-06-29","5.14.3","2023-06-29","up-to-date","com.rabbitmq","1","0","0","1","0","0","0","943"
"stream-client","0.5.0","stream-client","2022-03-11","0.5.0","2022-03-11","up-to-date","com.rabbitmq","0","0","0","0","0","0","0","1418"
"jmustache","1.15","jmustache","2019-07-10","1.15","","skipped: not 3-part semver","com.samskivert","0","0","0","0","0","0","",""
"sendgrid-java","4.9.3","sendgrid-java","2022-06-29","4.9.3","2022-06-29","up-to-date","com.sendgrid","0","0","0","0","0","0","0","1308"
"logging-interceptor","4.9.3","logging-interceptor","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"mockwebserver","4.9.3","mockwebserver","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okcurl","4.9.3","okcurl","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okhttp","4.9.3","okhttp","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okhttp-brotli","4.9.3","okhttp-brotli","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okhttp-dnsoverhttps","4.9.3","okhttp-dnsoverhttps","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okhttp-sse","4.9.3","okhttp-sse","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okhttp-tls","4.9.3","okhttp-tls","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"okhttp-urlconnection","4.9.3","okhttp-urlconnection","2021-11-21","4.9.3","2021-11-21","up-to-date","com.squareup.okhttp3","0","0","0","0","0","0","0","1528"
"jakarta.activation","1.2.2","jakarta.activation","2020-02-20","1.2.2","2020-02-20","up-to-date","com.sun.activation","0","0","0","0","0","0","0","2168"
"jakarta.mail","1.6.7","jakarta.mail","2021-04-08","1.6.8","unknown","update-available","com.sun.mail","0","0","0","0","0","0","",""
"saaj-impl","1.5.3","saaj-impl","2021-04-12","1.5.3","2021-04-12","up-to-date","com.sun.xml.messaging.saaj","0","0","0","0","0","0","0","1751"
"unboundid-ldapsdk","6.0.10","unboundid-ldapsdk","2023-09-21","6.0.11","2023-11-30","update-available","com.unboundid","0","0","0","0","0","0","70","789"
